time,TSI
1882-01-15,1360.7876
1882-02-15,1360.7861
1882-03-15,1360.6797
1882-04-15,1360.3489
1882-05-15,1360.2494
1882-06-15,1360.5248
1882-07-15,1360.6456
1882-08-15,1360.5164
1882-09-15,1360.4243
1882-10-15,1360.2742
1882-11-15,1360.126
1882-12-15,1360.8046
1883-01-15,1360.5383
1883-02-15,1360.5288
1883-03-15,1360.5992
1883-04-15,1360.4303
1883-05-15,1360.788
1883-06-15,1360.2404
1883-07-15,1360.043
1883-08-15,1360.7186
1883-09-15,1360.4731
1883-10-15,1360.3403
1883-11-15,1360.5245
1883-12-15,1360.6681
1884-01-15,1360.6735
1884-02-15,1360.7156
1884-03-15,1360.7926
1884-04-15,1360.4742
1884-05-15,1360.6542
1884-06-15,1360.9229
1884-07-15,1360.7714
1884-08-15,1360.6967
1884-09-15,1360.5106
1884-10-15,1360.4432
1884-11-15,1360.6729
1884-12-15,1360.4948
1885-01-15,1360.7234
1885-02-15,1360.5299
1885-03-15,1360.5394
1885-04-15,1360.4904
1885-05-15,1360.6573
1885-06-15,1360.2395
1885-07-15,1360.5228
1885-08-15,1360.6273
1885-09-15,1360.5217
1885-10-15,1360.4589
1885-11-15,1360.5222
1885-12-15,1360.5419
1886-01-15,1360.3315
1886-02-15,1360.49
1886-03-15,1360.2596
1886-04-15,1360.4741
1886-05-15,1360.2902
1886-06-15,1360.4467
1886-07-15,1360.3535
1886-08-15,1360.48
1886-09-15,1360.3987
1886-10-15,1360.3441
1886-11-15,1360.2872
1886-12-15,1360.2552
1887-01-15,1360.3474
1887-02-15,1360.3851
1887-03-15,1360.3413
1887-04-15,1360.332
1887-05-15,1360.3163
1887-06-15,1360.3323
1887-07-15,1360.3367
1887-08-15,1360.3802
1887-09-15,1360.261
1887-10-15,1360.2958
1887-11-15,1360.3146
1887-12-15,1360.0814
1888-01-15,1360.3389
1888-02-15,1360.2621
1888-03-15,1360.2524
1888-04-15,1360.2998
1888-05-15,1360.1892
1888-06-15,1360.2734
1888-07-15,1360.2745
1888-08-15,1360.2864
1888-09-15,1360.2832
1888-10-15,1360.2766
1888-11-15,1360.1715
1888-12-15,1360.2476
1889-01-15,1360.2379
1889-02-15,1360.2476
1889-03-15,1360.288
1889-04-15,1360.2534
1889-05-15,1360.2444
1889-06-15,1360.1733
1889-07-15,1360.2808
1889-08-15,1360.2646
1889-09-15,1360.2804
1889-10-15,1360.2542
1889-11-15,1360.2346
1889-12-15,1360.2562
1890-01-15,1360.2797
1890-02-15,1360.2534
1890-03-15,1360.2368
1890-04-15,1360.2668
