NOAA NESDIS STAR TLS
Year
Temperature Anomaly (C)
Year NOAA_STAR_TLS_4.1
1978.8746 1.0130
1978.9580 1.0880
1979.0416 1.0890
1979.1250 0.8450
1979.2083 0.9340
1979.2915 0.9860
1979.3749 0.9640
1979.4581 0.7960
1979.5415 0.6530
1979.6248 0.6550
1979.7080 0.6530
1979.7914 0.7440
1979.8746 0.8370
1979.9580 0.8940
1980.0416 0.9080
1980.1250 0.9020
1980.2083 0.6010
1980.2915 0.4690
1980.3749 0.5260
1980.4581 0.6560
1980.5415 0.7860
1980.6248 0.7820
1980.7080 0.8220
1980.7914 0.9460
1980.8746 1.0640
1980.9580 0.9210
1981.0416 0.8350
1981.1250 0.7760
1981.2083 0.6290
1981.2915 0.6780
1981.3749 0.5500
1981.4581 0.5270
1981.5415 0.5110
1981.6248 0.5340
1981.7080 0.6110
1981.7914 0.7910
1981.8746 0.8710
1981.9580 0.7520
1982.0416 0.7520
1982.1250 0.8690
1982.2083 0.9170
1982.2915 0.8530
1982.3749 0.9480
1982.4581 1.1070
1982.5415 1.1990
1982.6248 1.3110
1982.7080 1.4830
1982.7914 1.5870
1982.8746 1.7060
1982.9580 1.6510
1983.0416 1.6480
1983.1250 1.5490
1983.2083 1.3610
1983.2915 1.1310
1983.3749 0.9720
1983.4581 0.8720
1983.5415 0.8160
1983.6248 0.9130
1983.7080 0.9980
1983.7914 1.1620
1983.8746 1.1230
1983.9580 0.9870
1984.0416 0.8460
1984.1250 0.6530
1984.2083 0.3250
1984.2915 0.2960
1984.3749 0.3540
1984.4581 0.2820
1984.5415 0.3050
1984.6248 0.3460
1984.7080 0.3680
1984.7914 0.4590
1984.8746 0.6140
1984.9580 0.5870
1985.0416 0.2290
1985.1250 0.0380
1985.2083 -0.0050
1985.2915 -0.0430
1985.3749 0.0880
1985.4581 0.1710
1985.5415 0.2370
1985.6248 0.2910
1985.7080 0.3690
1985.7914 0.3960
1985.8746 0.2850
1985.9580 0.2740
1986.0416 0.2780
1986.1250 0.3900
1986.2083 0.2950
1986.2915 0.1840
1986.3749 0.1480
1986.4581 0.1460
1986.5415 0.1890
1986.6248 0.1260
1986.7080 0.1250
1986.7914 0.3230
1986.8746 0.3220
1986.9580 0.4870
1987.0416 0.3850
1987.1250 0.1660
1987.2083 0.1210
1987.2915 0.2800
1987.3749 0.3120
1987.4581 0.2700
1987.5415 0.3490
1987.6248 0.3490
1987.7080 0.3440
1987.7914 0.3440
1987.8746 0.3620
1987.9580 0.1430
1988.0416 0.2800
1988.1250 0.3860
1988.2083 0.2660
1988.2915 0.1560
1988.3749 0.1520
1988.4581 0.3100
1988.5415 0.3300
1988.6248 0.3570
1988.7080 0.3660
1988.7914 0.4940
1988.8746 0.5350
1988.9580 0.5510
1989.0416 0.6880
1989.1250 0.6330
1989.2083 0.4130
1989.2915 0.3930
1989.3749 0.3980
1989.4581 0.3750
1989.5415 0.3210
1989.6248 0.3630
1989.7080 0.4000
1989.7914 0.5180
1989.8746 0.4120
1989.9580 0.4610
1990.0416 0.4770
1990.1250 0.4160
1990.2083 0.4830
1990.2915 0.4930
1990.3749 0.3690
1990.4581 0.3670
1990.5415 0.3540
1990.6248 0.3920
1990.7080 0.3410
1990.7914 0.4120
1990.8746 0.5020
1990.9580 0.5130
1991.0416 0.3300
1991.1250 0.1730
1991.2083 0.3670
1991.2915 0.3310
1991.3749 0.2620
1991.4581 0.2890
1991.5415 0.7530
1991.6248 1.4410
1991.7080 1.7530
1991.7914 1.8530
1991.8746 1.5830
1991.9580 1.5020
1992.0416 1.3800
1992.1250 1.3510
1992.2083 1.4260
1992.2915 1.2490
1992.3749 1.0890
1992.4581 1.0250
1992.5415 1.1590
1992.6248 1.2240
1992.7080 1.2550
1992.7914 1.2110
1992.8746 1.2170
1992.9580 1.1110
1993.0416 1.0400
1993.1250 0.9470
1993.2083 0.6370
1993.2915 0.3730
1993.3749 0.1870
1993.4581 0.0880
1993.5415 0.0820
1993.6248 0.0980
1993.7080 0.0750
1993.7914 0.1210
1993.8746 -0.0010
1993.9580 -0.0470
1994.0416 -0.0060
1994.1250 0.1390
1994.2083 0.2010
1994.2915 0.1050
1994.3749 0.0260
1994.4581 -0.0030
1994.5415 -0.0110
1994.6248 0.1020
1994.7080 0.0450
1994.7914 0.0020
1994.8746 -0.1530
1994.9580 -0.0500
1995.0416 0.1200
1995.1250 0.1540
1995.2083 0.1280
1995.2915 -0.1030
1995.3749 -0.2070
1995.4581 -0.2430
1995.5415 -0.2400
1995.6248 -0.1450
1995.7080 -0.0980
1995.7914 0.0250
1995.8746 -0.0280
1995.9580 -0.0680
1996.0416 -0.0740
1996.1250 0.0390
1996.2083 -0.0120
1996.2915 -0.1900
1996.3749 -0.2300
1996.4581 -0.3100
1996.5415 -0.3160
1996.6248 -0.2470
1996.7080 -0.2730
1996.7914 -0.0660
1996.8746 -0.0060
1996.9580 -0.0920
1997.0416 -0.0600
1997.1250 0.0900
1997.2083 0.2530
1997.2915 0.0990
1997.3749 -0.1690
1997.4581 -0.2130
1997.5415 -0.0790
1997.6248 0.0630
1997.7080 0.0120
1997.7914 -0.0190
1997.8746 -0.0560
1997.9580 -0.1860
1998.0416 -0.2300
1998.1250 0.0300
1998.2083 0.0760
1998.2915 0.0420
1998.3749 -0.0400
1998.4581 -0.0950
1998.5415 -0.0220
1998.6248 0.0250
1998.7080 0.0640
1998.7914 0.0800
1998.8746 0.1100
1998.9580 -0.0420
1999.0416 -0.1230
1999.1250 -0.0880
1999.2083 -0.2940
1999.2915 -0.2600
1999.3749 -0.0530
1999.4581 0.1210
1999.5415 0.1750
1999.6248 0.2120
1999.7080 0.1670
1999.7914 0.1450
1999.8746 0.1260
1999.9580 0.0590
2000.0416 0.1550
2000.1250 0.2180
2000.2083 0.1530
2000.2915 0.0130
