NOAA NESDIS STAR TLS
Year
Temperature Anomaly (C)
Year NOAA_STAR_TLS_4.1
1979 0.8375
1980 0.781917
1981 0.672083
1982 1.19858
1983 1.12767
1984 0.452917
1985 0.194167
1986 0.251083
1987 0.285417
1988 0.348583
1989 0.447917
1990 0.426583
1991 0.886417
1992 1.22475
1993 0.3
1994 0.0330833
1995 -0.05875
1996 -0.148083
1997 -0.0220833
1998 -0.000166667
1999 0.0155833
2000 -0.0566667
2001 0.123333
2002 0.169583
2003 0.095
2004 0.05275
2005 -0.0545
2006 -0.0833333
2007 -0.0979167
2008 -0.174333
2009 -0.0636667
2010 0.09
2011 -0.109667
2012 -0.15225
2013 0.061
2014 0.0363333
2015 0.0295
2016 -0.241917
2017 -0.0755
2018 -0.127917
2019 -0.0858333
2020 0.00483333
2021 -0.0655833
