NOAA NESDIS STAR TMT
Year
Temperature Anomaly (C)
Year NOAA_STAR_TMT_4.1
1978.8746 -0.4460
1978.9580 -0.4060
1979.0416 -0.4100
1979.1250 -0.3810
1979.2083 -0.3610
1979.2915 -0.4080
1979.3749 -0.4160
1979.4581 -0.3860
1979.5415 -0.4010
1979.6248 -0.4980
1979.7080 -0.4640
1979.7914 -0.1970
1979.8746 -0.2090
1979.9580 -0.1780
1980.0416 -0.2560
1980.1250 -0.1500
1980.2083 -0.2310
1980.2915 -0.1590
1980.3749 -0.0770
1980.4581 -0.0200
1980.5415 -0.2280
1980.6248 -0.3290
1980.7080 -0.2720
1980.7914 -0.3080
1980.8746 -0.3550
1980.9580 -0.3390
1981.0416 -0.2510
1981.1250 -0.1520
1981.2083 -0.2850
1981.2915 -0.3230
1981.3749 -0.3000
1981.4581 -0.3220
1981.5415 -0.3280
1981.6248 -0.2260
1981.7080 -0.4470
1981.7914 -0.3840
1981.8746 -0.2950
1981.9580 -0.1310
1982.0416 -0.3240
1982.1250 -0.3310
1982.2083 -0.3850
1982.2915 -0.4520
1982.3749 -0.4150
1982.4581 -0.3100
1982.5415 -0.5090
1982.6248 -0.4440
1982.7080 -0.4170
1982.7914 -0.4630
1982.8746 -0.2870
1982.9580 -0.1640
1983.0416 -0.0100
1983.1250 -0.1960
1983.2083 0.1070
1983.2915 -0.0220
1983.3749 -0.0120
1983.4581 -0.2630
1983.5415 -0.1640
1983.6248 -0.1770
1983.7080 -0.2860
1983.7914 -0.3170
1983.8746 -0.2830
1983.9580 -0.4660
1984.0416 -0.6280
1984.1250 -0.5000
1984.2083 -0.4240
1984.2915 -0.5050
1984.3749 -0.3990
1984.4581 -0.3820
1984.5415 -0.5440
1984.6248 -0.5080
1984.7080 -0.8650
1984.7914 -0.4380
1984.8746 -0.4890
1984.9580 -0.4400
1985.0416 -0.4480
1985.1250 -0.5070
1985.2083 -0.4880
1985.2915 -0.4210
1985.3749 -0.4880
1985.4581 -0.4910
1985.5415 -0.7770
1985.6248 -0.5520
1985.7080 -0.6060
1985.7914 -0.6570
1985.8746 -0.5020
1985.9580 -0.4560
1986.0416 -0.3660
1986.1250 -0.5790
1986.2083 -0.5160
1986.2915 -0.4130
1986.3749 -0.3870
1986.4581 -0.4140
1986.5415 -0.5470
1986.6248 -0.5370
1986.7080 -0.5940
1986.7914 -0.5670
1986.8746 -0.3440
1986.9580 -0.2120
1987.0416 -0.0850
1987.1250 -0.0980
1987.2083 -0.3920
1987.2915 -0.1400
1987.3749 -0.2760
1987.4581 0.0220
1987.5415 -0.1710
1987.6248 -0.2900
1987.7080 -0.3280
1987.7914 -0.1290
1987.8746 -0.0970
1987.9580 0.2110
1988.0416 -0.0780
1988.1250 -0.2790
1988.2083 -0.0620
1988.2915 -0.1980
1988.3749 -0.1110
1988.4581 -0.1510
1988.5415 -0.1420
1988.6248 -0.2210
1988.7080 -0.0930
1988.7914 -0.2400
1988.8746 -0.2350
1988.9580 -0.3160
1989.0416 -0.5580
1989.1250 -0.4630
1989.2083 -0.5270
1989.2915 -0.4430
1989.3749 -0.5130
1989.4581 -0.4740
1989.5415 -0.4630
1989.6248 -0.4690
1989.7080 -0.3830
1989.7914 -0.3960
1989.8746 -0.3520
1989.9580 -0.1630
1990.0416 -0.2750
1990.1250 -0.3670
1990.2083 -0.1330
1990.2915 -0.2570
1990.3749 -0.1000
1990.4581 -0.0530
1990.5415 -0.2540
1990.6248 -0.3070
1990.7080 -0.3790
1990.7914 -0.2550
1990.8746 -0.0090
1990.9580 -0.0460
1991.0416 -0.1980
1991.1250 -0.1250
1991.2083 0.0000
1991.2915 -0.2670
1991.3749 -0.0960
1991.4581 0.0870
1991.5415 -0.1070
1991.6248 -0.0320
1991.7080 -0.1830
1991.7914 -0.2470
1991.8746 -0.2780
1991.9580 -0.2420
1992.0416 -0.2350
1992.1250 -0.2650
1992.2083 -0.2070
1992.2915 -0.3470
1992.3749 -0.3020
1992.4581 -0.2280
1992.5415 -0.4520
1992.6248 -0.5430
1992.7080 -0.5140
1992.7914 -0.3190
1992.8746 -0.3250
1992.9580 -0.3820
1993.0416 -0.4600
1993.1250 -0.4430
1993.2083 -0.6060
1993.2915 -0.5540
1993.3749 -0.4010
1993.4581 -0.2590
1993.5415 -0.3150
1993.6248 -0.4500
1993.7080 -0.6620
1993.7914 -0.3840
1993.8746 -0.3530
1993.9580 -0.1160
1994.0416 -0.3300
1994.1250 -0.4030
1994.2083 -0.4210
1994.2915 -0.3840
1994.3749 -0.2890
1994.4581 -0.1140
1994.5415 -0.1910
1994.6248 -0.3050
1994.7080 -0.2830
1994.7914 -0.4950
1994.8746 -0.1830
1994.9580 -0.0620
1995.0416 -0.1120
1995.1250 -0.2500
1995.2083 -0.4110
1995.2915 -0.1370
1995.3749 -0.2050
1995.4581 -0.1040
1995.5415 -0.2650
1995.6248 -0.0780
1995.7080 -0.0940
1995.7914 -0.2000
1995.8746 -0.1860
1995.9580 -0.4190
1996.0416 -0.4290
1996.1250 -0.2800
1996.2083 -0.2000
1996.2915 -0.3220
1996.3749 -0.3450
1996.4581 -0.2920
1996.5415 -0.2660
1996.6248 -0.2280
1996.7080 -0.1450
1996.7914 -0.1760
1996.8746 -0.1700
1996.9580 -0.2310
1997.0416 -0.3040
1997.1250 -0.2610
1997.2083 -0.3090
1997.2915 -0.4960
