NOAA NESDIS STAR TMT
Year
Temperature Anomaly (C)
Year NOAA_STAR_TMT_4.1
1979 -0.359083
1980 -0.227
1981 -0.287
1982 -0.375083
1983 -0.174083
1984 -0.510167
1985 -0.53275
1986 -0.456333
1987 -0.14775
1988 -0.177167
1989 -0.433667
1990 -0.202917
1991 -0.140667
1992 -0.34325
1993 -0.416917
1994 -0.288333
1995 -0.205083
1996 -0.257
1997 -0.210917
1998 0.264583
1999 -0.223417
2000 -0.24125
2001 -0.05825
2002 0.0888333
2003 0.0605
2004 -0.00716667
2005 0.106167
2006 0.0124167
2007 0.0238333
2008 -0.218
2009 -0.00791667
2010 0.241
2011 -0.0975
2012 -0.052
2013 0.0548333
2014 0.0615
2015 0.150583
2016 0.373583
2017 0.23675
2018 0.09325
2019 0.307583
2020 0.36075
2021 0.146333
