RSS MSU-TLS v4.0
Year
Temperature Anomaly (C)
Year RSSv4_MSU-TLS
1979.04 0.4617
1979.12 0.2767
1979.21 0.3848
1979.29 0.5112
1979.38 0.5385
1979.46 0.3861
1979.54 0.2086
1979.62 0.1414
1979.71 0.1026
1979.79 0.1129
1979.88 0.2164
1979.96 0.3255
1980.04 0.2837
1980.12 0.2748
1980.21 0.0547
1980.29 0.0044
1980.38 0.1292
1980.46 0.2555
1980.54 0.3449
1980.62 0.2654
1980.71 0.2918
1980.79 0.3450
1980.88 0.3982
1980.96 0.3739
1981.04 0.2996
1981.12 0.2504
1981.21 0.1556
1981.29 0.2897
1981.38 0.2193
1981.46 0.2066
1981.54 0.1442
1981.62 0.0586
1981.71 0.1325
1981.79 0.2289
1981.88 0.3108
1981.96 0.2361
1982.04 0.2099
1982.12 0.3511
1982.21 0.4535
1982.29 0.4651
1982.38 0.6156
1982.46 0.7899
1982.54 0.8349
1982.62 0.8690
1982.71 0.9983
1982.79 1.0096
1982.88 1.1359
1982.96 1.1296
1983.04 1.1084
1983.12 1.0265
1983.21 0.8908
1983.29 0.7383
1983.38 0.6306
1983.46 0.5349
1983.54 0.4322
1983.62 0.4464
1983.71 0.4854
1983.79 0.5594
1983.88 0.5204
1983.96 0.4350
1984.04 0.2699
1984.12 0.1092
1984.21 -0.1818
1984.29 -0.1204
1984.38 -0.0060
1984.46 -0.0581
1984.54 -0.0873
1984.62 -0.1473
1984.71 -0.1768
1984.79 -0.2144
1984.88 -0.0675
1984.96 -0.0308
1985.04 -0.3438
1985.12 -0.4555
1985.21 -0.4251
1985.29 -0.3845
1985.38 -0.2376
1985.46 -0.1195
1985.54 -0.0882
1985.62 -0.1166
1985.71 -0.0515
1985.79 -0.1253
1985.88 -0.2102
1985.96 -0.2028
1986.04 -0.2159
1986.12 -0.0814
1986.21 -0.1151
1986.29 -0.1597
1986.38 -0.1449
1986.46 -0.1346
1986.54 -0.1447
1986.62 -0.2880
1986.71 -0.3225
1986.79 -0.2152
1986.88 -0.2241
1986.96 -0.0377
1987.04 -0.1603
1987.12 -0.3661
1987.21 -0.3473
1987.29 -0.1384
1987.38 -0.0563
1987.46 -0.0923
1987.54 -0.0607
1987.62 -0.1421
1987.71 -0.1930
1987.79 -0.2720
1987.88 -0.2541
1987.96 -0.4280
1988.04 -0.3059
1988.12 -0.1862
1988.21 -0.2592
1988.29 -0.2873
1988.38 -0.2365
1988.46 -0.0552
1988.54 -0.0869
1988.62 -0.1349
1988.71 -0.1753
1988.79 -0.1215
1988.88 -0.0575
1988.96 0.0144
1989.04 0.1333
1989.12 0.0909
1989.21 -0.0830
1989.29 -0.0161
1989.38 0.0448
1989.46 0.0432
1989.54 -0.0627
1989.62 -0.1127
1989.71 -0.1259
1989.79 -0.0927
1989.88 -0.1857
1989.96 -0.0706
1990.04 -0.0748
1990.12 -0.1339
1990.21 -0.0048
1990.29 0.0793
1990.38 0.0218
1990.46 0.0386
1990.54 -0.0243
1990.62 -0.0783
1990.71 -0.1899
1990.79 -0.1904
1990.88 -0.0748
1990.96 -0.0130
1991.04 -0.2295
1991.12 -0.3785
1991.21 -0.1209
1991.29 -0.0724
1991.38 -0.0882
1991.46 -0.0071
1991.54 0.4105
1991.62 1.0208
1991.71 1.2954
1991.79 1.3308
1991.88 1.0744
1991.96 1.0227
1992.04 0.8578
1992.12 0.8375
1992.21 0.9673
1992.29 0.8675
1992.38 0.7533
1992.46 0.7037
1992.54 0.7876
1992.62 0.7756
1992.71 0.7870
1992.79 0.6733
1992.88 0.6924
1992.96 0.6345
1993.04 0.5257
1993.12 0.4503
1993.21 0.1980
1993.29 0.0187
1993.38 -0.1216
1993.46 -0.2123
1993.54 -0.2691
1993.62 -0.3279
1993.71 -0.3592
1993.79 -0.4047
1993.88 -0.5121
1993.96 -0.5010
1994.04 -0.4954
1994.12 -0.3421
1994.21 -0.2211
1994.29 -0.2268
1994.38 -0.2725
1994.46 -0.2939
1994.54 -0.3479
1994.62 -0.2994
1994.71 -0.3836
1994.79 -0.4807
1994.88 -0.6368
1994.96 -0.5112
1995.04 -0.3781
1995.12 -0.3445
1995.21 -0.2890
1995.29 -0.4336
1995.38 -0.4904
1995.46 -0.5243
1995.54 -0.5838
1995.62 -0.5528
1995.71 -0.5504
1995.79 -0.5049
1995.88 -0.5331
1995.96 -0.5530
1996.04 -0.5993
1996.12 -0.4764
1996.21 -0.4701
1996.29 -0.5496
1996.38 -0.5312
1996.46 -0.6024
1996.54 -0.6455
1996.62 -0.6544
1996.71 -0.7265
1996.79 -0.6062
1996.88 -0.5384
1996.96 -0.5798
1997.04 -0.5843
1997.12 -0.4170
1997.21 -0.2003
1997.29 -0.2561
