RSS MSU-TLS v4.0
Year
Temperature Anomaly (C)
Year RSSv4_MSU-TLS
1979 0.305533
1980 0.251792
1981 0.211025
1982 0.738533
1983 0.650692
1984 -0.059275
1985 -0.23005
1986 -0.17365
1987 -0.209217
1988 -0.157667
1989 -0.0364333
1990 -0.0537083
1991 0.438167
1992 0.778125
1993 -0.126267
1994 -0.37595
1995 -0.478158
1996 -0.58165
1997 -0.461092
1998 -0.430767
1999 -0.4388
2000 -0.511575
2001 -0.340608
2002 -0.279575
2003 -0.351825
2004 -0.391708
2005 -0.503033
2006 -0.502858
2007 -0.494083
2008 -0.564258
2009 -0.467842
2010 -0.332783
2011 -0.5265
2012 -0.57365
2013 -0.370642
2014 -0.37925
2015 -0.375867
2016 -0.656883
2017 -0.485958
2018 -0.548267
2019 -0.536308
2020 -0.459683
2021 -0.524925
