RSS MSU-TLT v4.0
Year
Temperature Anomaly (C)
Year RSSv4_MSU-TLT
1979.04 -0.2260
1979.12 -0.2070
1979.21 -0.1967
1979.29 -0.2919
1979.38 -0.2676
1979.46 -0.2214
1979.54 -0.0599
1979.62 -0.1873
1979.71 -0.0483
1979.79 0.0890
1979.88 -0.0634
1979.96 -0.0067
1980.04 -0.0004
1980.12 0.0935
1980.21 -0.0102
1980.29 0.0341
1980.38 0.0851
1980.46 0.1037
1980.54 -0.0297
1980.62 0.0027
1980.71 0.0212
1980.79 0.0067
1980.88 -0.0154
1980.96 -0.1412
1981.04 0.0893
1981.12 0.1642
1981.21 0.0122
1981.29 0.0388
1981.38 -0.0378
1981.46 -0.0894
1981.54 -0.0356
1981.62 -0.0113
1981.71 -0.0793
1981.79 -0.1110
1981.88 -0.0444
1981.96 0.0809
1982.04 -0.1659
1982.12 -0.1211
1982.21 -0.2206
1982.29 -0.1810
1982.38 -0.2335
1982.46 -0.1667
1982.54 -0.3119
1982.62 -0.2380
1982.71 -0.1760
1982.79 -0.2854
1982.88 -0.2249
1982.96 -0.1127
1983.04 0.1045
1983.12 -0.0132
1983.21 0.2598
1983.29 0.1107
1983.38 0.0997
1983.46 -0.1230
1983.54 0.0920
1983.62 0.0627
1983.71 0.0221
1983.79 -0.0570
1983.88 0.0114
1983.96 -0.2434
1984.04 -0.3060
1984.12 -0.1693
1984.21 -0.1269
1984.29 -0.2327
1984.38 -0.0966
1984.46 -0.2222
1984.54 -0.2163
1984.62 -0.1733
1984.71 -0.4630
1984.79 -0.1415
1984.88 -0.3169
1984.96 -0.3643
1985.04 -0.1806
1985.12 -0.2958
1985.21 -0.2825
1985.29 -0.3586
1985.38 -0.3703
1985.46 -0.3750
1985.54 -0.4401
1985.62 -0.2636
1985.71 -0.2446
1985.79 -0.3347
1985.88 -0.1713
1985.96 -0.1645
1986.04 -0.0690
1986.12 -0.2426
1986.21 -0.1846
1986.29 -0.0878
1986.38 -0.1326
1986.46 -0.2013
1986.54 -0.2587
1986.62 -0.2440
1986.71 -0.2377
1986.79 -0.2703
1986.88 -0.0887
1986.96 -0.0625
1987.04 0.1633
1987.12 0.2200
1987.21 -0.0930
1987.29 0.1521
1987.38 -0.0060
1987.46 0.1337
1987.54 0.0833
1987.62 0.0213
1987.71 0.0309
1987.79 0.2048
1987.88 0.1551
1987.96 0.4150
1988.04 0.2588
1988.12 0.0187
1988.21 0.1932
1988.29 0.0829
1988.38 0.1389
1988.46 0.1018
1988.54 0.1974
1988.62 0.0507
1988.71 0.2295
1988.79 -0.0129
1988.88 -0.0294
1988.96 -0.1353
1989.04 -0.3305
1989.12 -0.1780
1989.21 -0.2063
1989.29 -0.0859
1989.38 -0.1643
1989.46 -0.1758
1989.54 -0.0862
1989.62 -0.0846
1989.71 0.0290
1989.79 -0.0090
1989.88 -0.0727
1989.96 0.0250
1990.04 -0.0348
1990.12 -0.1228
1990.21 0.1285
1990.29 -0.0116
1990.38 0.0837
1990.46 0.1221
1990.54 0.0171
1990.62 0.0121
1990.71 -0.0055
1990.79 0.1242
1990.88 0.2786
1990.96 0.1761
1991.04 0.1462
1991.12 0.1749
1991.21 0.3258
1991.29 0.1003
1991.38 0.1848
1991.46 0.3127
1991.54 0.1865
1991.62 0.2056
1991.71 0.0273
1991.79 -0.0548
1991.88 -0.1093
1991.96 -0.1713
1992.04 -0.0307
1992.12 -0.0935
1992.21 0.0299
1992.29 -0.1448
1992.38 -0.1475
1992.46 -0.1478
1992.54 -0.2924
1992.62 -0.3493
1992.71 -0.2897
1992.79 -0.1269
1992.88 -0.1393
1992.96 -0.2093
1993.04 -0.2398
1993.12 -0.1689
1993.21 -0.3012
1993.29 -0.1724
1993.38 -0.0798
1993.46 -0.0023
1993.54 0.0120
1993.62 -0.0959
1993.71 -0.2109
1993.79 -0.0133
1993.88 -0.0343
1993.96 0.1214
1994.04 0.0653
1994.12 -0.0514
1994.21 -0.0557
1994.29 -0.0169
1994.38 0.0241
1994.46 0.1040
1994.54 0.1086
1994.62 0.0596
1994.71 0.0938
1994.79 -0.1030
1994.88 0.0966
1994.96 0.1275
1995.04 0.1969
1995.12 0.1289
1995.21 0.0143
1995.29 0.2956
1995.38 0.1582
1995.46 0.1966
1995.54 0.1176
1995.62 0.3407
1995.71 0.3449
1995.79 0.2064
1995.88 0.2080
1995.96 -0.0665
1996.04 -0.0144
1996.12 0.0994
1996.21 0.1201
1996.29 0.0019
1996.38 0.0201
1996.46 -0.0181
1996.54 0.1035
1996.62 0.0840
1996.71 0.2106
1996.79 0.1605
1996.88 0.1282
1996.96 0.0431
1997.04 -0.0453
1997.12 0.0360
1997.21 -0.0011
1997.29 -0.1255
1997.38 0.0476
1997.46 0.0694
1997.54 0.1847
1997.62 0.1939
1997.71 0.2178
1997.79 0.2396
1997.88 0.2003
1997.96 0.3404
1998.04 0.6193
1998.12 0.7281
1998.21 0.5951
1998.29 0.8928
1998.38 0.6938
1998.46 0.5988
1998.54 0.6283
1998.62 0.6141
1998.71 0.5278
1998.79 0.4887
1998.88 0.2317
1998.96 0.3484
1999.04 0.1997
1999.12 0.3241
1999.21 0.0404
1999.29 0.1662
1999.38 0.1023
1999.46 -0.0667
1999.54 0.1060
1999.62 0.0611
1999.71 0.1718
1999.79 0.1113
1999.88 0.0504
1999.96 0.1035
2000.04 -0.0864
2000.12 0.1200
2000.21 0.1466
2000.29 0.2422
2000.38 0.1829
2000.46 0.1379
2000.54 0.0728
2000.62 0.0433
2000.71 0.1447
2000.79 0.1698
2000.88 0.0784
2000.96 0.0426
2001.04 0.1166
2001.12 0.2040
2001.21 0.2256
2001.29 0.3369
2001.38 0.3084
2001.46 0.1388
2001.54 0.2126
2001.62 0.4705
2001.71 0.2546
2001.79 0.3857
2001.88 0.3426
2001.96 0.3095
2002.04 0.4239
2002.12 0.4869
2002.21 0.4199
2002.29 0.3843
2002.38 0.3654
2002.46 0.4462
2002.54 0.4126
2002.62 0.4007
2002.71 0.3896
2002.79 0.2645
2002.88 0.3802
2002.96 0.2971
2003.04 0.5260
2003.12 0.4103
2003.21 0.3221
2003.29 0.3505
2003.38 0.4173
2003.46 0.2225
2003.54 0.3610
2003.62 0.3627
2003.71 0.4054
2003.79 0.5497
2003.88 0.4112
2003.96 0.5239
2004.04 0.4270
2004.12 0.4486
2004.21 0.5683
2004.29 0.3616
2004.38 0.2618
2004.46 0.2280
2004.54 0.1279
2004.62 0.2185
2004.71 0.3423
2004.79 0.4478
2004.88 0.3496
2004.96 0.2398
2005.04 0.5599
2005.12 0.4791
2005.21 0.4537
2005.29 0.5840
2005.38 0.3992
2005.46 0.3932
2005.54 0.4928
2005.62 0.3968
2005.71 0.5353
2005.79 0.5576
2005.88 0.4795
2005.96 0.3018
2006.04 0.3771
2006.12 0.4058
2006.21 0.4111
2006.29 0.3475
2006.38 0.1877
2006.46 0.3091
2006.54 0.3783
2006.62 0.3875
2006.71 0.4641
2006.79 0.4961
2006.88 0.3665
2006.96 0.4406
2007.04 0.7045
2007.12 0.5048
2007.21 0.5140
2007.29 0.4203
2007.38 0.3171
2007.46 0.3327
2007.54 0.4119
2007.62 0.4774
2007.71 0.4184
2007.79 0.4122
2007.88 0.2880
2007.96 0.2085
2008.04 0.0519
2008.12 0.1116
