RSS MSU-TLT v4.0
Year
Temperature Anomaly (C)
Year RSSv4_MSU-TLT
1979 -0.1406
1980 0.0125083
1981 -0.00195
1982 -0.203142
1983 0.0271917
1984 -0.23575
1985 -0.290133
1986 -0.173317
1987 0.123375
1988 0.0911917
1989 -0.111608
1990 0.063975
1991 0.110725
1992 -0.161775
1993 -0.0987833
1994 0.0377083
1995 0.178467
1996 0.0782417
1997 0.11315
1998 0.580575
1999 0.114175
2000 0.1079
2001 0.275483
2002 0.389275
2003 0.405217
2004 0.3351
2005 0.469408
2006 0.38095
2007 0.417483
2008 0.209083
2009 0.375033
2010 0.621175
2011 0.29395
2012 0.356133
2013 0.429917
2014 0.485642
2015 0.615967
2016 0.813575
2017 0.685133
2018 0.54355
2019 0.75035
2020 0.814717
2021 0.617633
