RSS MSU-TMT v4.0
Year
Temperature Anomaly (C)
Year RSSv4_MSU-TMT
1979.04 -0.1351
1979.12 -0.1051
1979.21 -0.0918
1979.29 -0.1240
1979.38 -0.1771
1979.46 -0.1977
1979.54 -0.1054
1979.62 -0.1910
1979.71 -0.1134
1979.79 0.1197
1979.88 0.0543
1979.96 0.0310
1980.04 0.0551
1980.12 0.1664
1980.21 0.0744
1980.29 0.1523
1980.38 0.2170
1980.46 0.2154
1980.54 0.1019
1980.62 0.0096
1980.71 0.0804
1980.79 0.0142
1980.88 0.0036
1980.96 -0.1377
1981.04 0.0270
1981.12 0.1370
1981.21 0.0003
1981.29 -0.0300
1981.38 -0.0425
1981.46 -0.1186
1981.54 -0.0331
1981.62 0.0091
1981.71 -0.0987
1981.79 -0.0720
1981.88 -0.0307
1981.96 0.0869
1982.04 -0.0392
1982.12 -0.0288
1982.21 -0.0905
1982.29 -0.1559
1982.38 -0.1536
1982.46 -0.1036
1982.54 -0.1966
1982.62 -0.1279
1982.71 -0.0544
1982.79 -0.1361
1982.88 -0.0129
1982.96 0.0511
1983.04 0.2829
1983.12 0.1025
1983.21 0.3944
1983.29 0.2765
1983.38 0.2479
1983.46 -0.0524
1983.54 0.1335
1983.62 0.1356
1983.71 0.0775
1983.79 0.0189
1983.88 -0.0083
1983.96 -0.2356
1984.04 -0.3372
1984.12 -0.2019
1984.21 -0.1167
1984.29 -0.1968
1984.38 -0.1469
1984.46 -0.1623
1984.54 -0.2317
1984.62 -0.1868
1984.71 -0.5048
1984.79 -0.0998
1984.88 -0.1931
1984.96 -0.1947
1985.04 -0.1547
1985.12 -0.2706
1985.21 -0.2118
1985.29 -0.1236
1985.38 -0.2137
1985.46 -0.2834
1985.54 -0.4626
1985.62 -0.2327
1985.71 -0.2673
1985.79 -0.3619
1985.88 -0.2664
1985.96 -0.2549
1986.04 -0.1019
1986.12 -0.2918
1986.21 -0.2574
1986.29 -0.1304
1986.38 -0.1424
1986.46 -0.2144
1986.54 -0.2466
1986.62 -0.2299
1986.71 -0.2332
1986.79 -0.2592
1986.88 -0.1045
1986.96 -0.0120
1987.04 0.1757
1987.12 0.1662
1987.21 -0.1195
1987.29 0.1393
1987.38 -0.0229
1987.46 0.2176
1987.54 0.1245
1987.62 0.0050
1987.71 0.0114
1987.79 0.1654
1987.88 0.1424
1987.96 0.3931
1988.04 0.1720
1988.12 -0.0070
1988.21 0.1975
1988.29 0.0732
1988.38 0.1237
1988.46 0.0364
1988.54 0.1440
1988.62 0.0786
1988.71 0.2420
1988.79 0.0480
1988.88 0.0311
1988.96 -0.1294
1989.04 -0.2957
1989.12 -0.1933
1989.21 -0.2608
1989.29 -0.1683
1989.38 -0.2714
1989.46 -0.2810
1989.54 -0.1800
1989.62 -0.1787
1989.71 -0.0539
1989.79 -0.1142
1989.88 -0.1163
1989.96 0.0219
1990.04 -0.0195
1990.12 -0.0928
1990.21 0.1211
1990.29 0.0144
1990.38 0.1330
1990.46 0.1310
1990.54 0.0329
1990.62 -0.0183
1990.71 -0.0412
1990.79 0.0276
1990.88 0.2094
1990.96 0.1279
1991.04 0.0523
1991.12 0.1335
1991.21 0.2533
1991.29 -0.0023
1991.38 0.1383
1991.46 0.2784
1991.54 0.1996
1991.62 0.2915
1991.71 0.1753
1991.79 0.0628
1991.88 -0.0140
1991.96 -0.0311
1992.04 0.0400
1992.12 0.0197
1992.21 0.0644
1992.29 -0.0508
1992.38 -0.0470
1992.46 -0.0208
1992.54 -0.1345
1992.62 -0.2224
1992.71 -0.1398
1992.79 0.0023
1992.88 -0.0615
1992.96 -0.1649
1993.04 -0.1771
1993.12 -0.1541
1993.21 -0.3215
1993.29 -0.2634
1993.38 -0.1515
1993.46 -0.0637
