RSS MSU-TMT v4.0
Year
Temperature Anomaly (C)
Year RSSv4_MSU-TMT
1979 -0.0863
1980 0.0793833
1981 -0.013775
1982 -0.0873667
1983 0.11445
1984 -0.214392
1985 -0.258633
1986 -0.185308
1987 0.116517
1988 0.084175
1989 -0.174308
1990 0.052125
1991 0.128133
1992 -0.0596083
1993 -0.136883
1994 -0.0112417
1995 0.0623
1996 0.0108667
1997 0.0566083
1998 0.523242
1999 0.0438667
2000 0.0269917
2001 0.210483
2002 0.355242
2003 0.309725
2004 0.210908
2005 0.299983
2006 0.205392
2007 0.235908
2008 -0.0099
2009 0.202867
2010 0.449233
2011 0.108308
2012 0.176625
2013 0.299908
2014 0.312808
2015 0.406517
2016 0.622992
2017 0.478767
2018 0.322842
2019 0.531267
2020 0.5729
2021 0.342233
