UAH v6.0 MSU-TLS
Year
Temperature Anomaly (C)
Year UAH_v6.0_MSU-TLS
1978.96 1.141
1979.04 1.141
1979.12 0.922
1979.21 0.986
1979.29 1.092
1979.38 1.124
1979.46 0.984
1979.54 0.810
1979.62 0.737
1979.71 0.749
1979.79 0.810
1979.88 0.910
1979.96 0.968
1980.04 0.960
1980.12 0.892
1980.21 0.599
1980.29 0.534
1980.38 0.664
1980.46 0.806
1980.54 0.904
1980.62 0.817
1980.71 0.883
1980.79 0.969
1980.88 1.012
1980.96 0.959
1981.04 0.870
1981.12 0.782
1981.21 0.622
1981.29 0.738
1981.38 0.682
1981.46 0.691
1981.54 0.635
1981.62 0.605
1981.71 0.683
1981.79 0.821
1981.88 0.906
1981.96 0.783
1982.04 0.780
1982.12 0.889
1982.21 0.926
1982.29 0.918
1982.38 1.071
1982.46 1.253
1982.54 1.316
1982.62 1.350
1982.71 1.523
1982.79 1.586
1982.88 1.707
1982.96 1.649
1983.04 1.658
1983.12 1.546
1983.21 1.355
1983.29 1.190
1983.38 1.073
1983.46 0.995
1983.54 0.918
1983.62 0.934
1983.71 1.024
1983.79 1.144
1983.88 1.105
1983.96 0.972
1984.04 0.830
1984.12 0.616
1984.21 0.279
1984.29 0.327
1984.38 0.447
1984.46 0.409
1984.54 0.398
1984.62 0.345
1984.71 0.352
1984.79 0.368
1984.88 0.516
1984.96 0.509
1985.04 0.229
1985.12 0.116
1985.21 0.068
1985.29 0.080
1985.38 0.213
1985.46 0.338
1985.54 0.375
1985.62 0.375
1985.71 0.470
1985.79 0.461
1985.88 0.372
1985.96 0.335
1986.04 0.353
1986.12 0.441
1986.21 0.340
1986.29 0.278
1986.38 0.288
1986.46 0.315
1986.54 0.334
1986.62 0.205
1986.71 0.226
1986.79 0.379
1986.88 0.368
1986.96 0.490
1987.04 0.381
1987.12 0.164
1987.21 0.114
1987.29 0.291
1987.38 0.376
1987.46 0.346
1987.54 0.397
1987.62 0.335
1987.71 0.342
1987.79 0.309
1987.88 0.328
1987.96 0.095
1988.04 0.221
1988.12 0.313
1988.21 0.169
1988.29 0.146
1988.38 0.193
1988.46 0.368
1988.54 0.371
1988.62 0.332
1988.71 0.364
1988.79 0.474
1988.88 0.503
1988.96 0.499
1989.04 0.630
1989.12 0.565
1989.21 0.327
1989.29 0.377
1989.38 0.444
1989.46 0.446
1989.54 0.371
1989.62 0.336
1989.71 0.378
1989.79 0.467
1989.88 0.374
1989.96 0.415
1990.04 0.427
1990.12 0.357
1990.21 0.414
1990.29 0.481
