UAH v6.0 MSU-TLS
Year
Temperature Anomaly (C)
Year UAH_v6.0_MSU-TLS
1979 0.936083
1980 0.83325
1981 0.734833
1982 1.24733
1983 1.1595
1984 0.449667
1985 0.286
1986 0.33475
1987 0.289833
1988 0.329417
1989 0.4275
1990 0.413083
1991 0.890917
1992 1.22983
1993 0.340417
1994 0.0985
1995 -0.038
1996 -0.149167
1997 -0.0395
1998 -0.0151667
1999 -0.03425
2000 -0.109583
2001 0.0586667
2002 0.11525
2003 0.04525
2004 -0.0115
2005 -0.127833
2006 -0.135
2007 -0.14525
2008 -0.214333
2009 -0.132083
2010 -0.00583333
2011 -0.170583
2012 -0.236083
2013 -0.0381667
2014 -0.0385
2015 -0.0224167
2016 -0.306417
2017 -0.19
2018 -0.247333
2019 -0.238583
2020 -0.133333
2021 -0.180083
