UAH v6.0 MSU-TLT
Year
Temperature Anomaly (C)
Year UAH_v6.0_MSU-TLT
1978.96 -0.479
1979.04 -0.474
1979.12 -0.434
1979.21 -0.384
1979.29 -0.405
1979.38 -0.395
1979.46 -0.395
1979.54 -0.311
1979.62 -0.401
1979.71 -0.323
1979.79 -0.171
1979.88 -0.262
1979.96 -0.203
1980.04 -0.226
1980.12 -0.099
1980.21 -0.157
1980.29 -0.090
1980.38 -0.059
1980.46 -0.047
1980.54 -0.166
1980.62 -0.152
1980.71 -0.177
1980.79 -0.320
1980.88 -0.273
1980.96 -0.371
1981.04 -0.227
1981.12 -0.150
1981.21 -0.259
1981.29 -0.248
1981.38 -0.261
1981.46 -0.313
1981.54 -0.210
1981.62 -0.206
1981.71 -0.328
1981.79 -0.354
1981.88 -0.279
1981.96 -0.140
1982.04 -0.369
1982.12 -0.408
1982.21 -0.451
1982.29 -0.441
1982.38 -0.438
1982.46 -0.379
1982.54 -0.541
1982.62 -0.460
1982.71 -0.465
1982.79 -0.554
1982.88 -0.404
1982.96 -0.284
1983.04 -0.131
1983.12 -0.326
1983.21 0.019
1983.29 -0.041
1983.38 -0.034
1983.46 -0.317
1983.54 -0.130
1983.62 -0.100
1983.71 -0.175
1983.79 -0.259
1983.88 -0.216
1983.96 -0.427
1984.04 -0.505
1984.12 -0.389
1984.21 -0.272
1984.29 -0.370
1984.38 -0.236
1984.46 -0.346
1984.54 -0.418
1984.62 -0.337
1984.71 -0.671
1984.79 -0.233
1984.88 -0.339
1984.96 -0.378
1985.04 -0.439
1985.12 -0.636
1985.21 -0.587
1985.29 -0.435
1985.38 -0.445
1985.46 -0.480
1985.54 -0.641
1985.62 -0.389
1985.71 -0.539
1985.79 -0.589
1985.88 -0.417
1985.96 -0.379
1986.04 -0.293
1986.12 -0.531
1986.21 -0.404
1986.29 -0.282
1986.38 -0.253
1986.46 -0.316
1986.54 -0.373
1986.62 -0.375
1986.71 -0.469
1986.79 -0.464
1986.88 -0.283
1986.96 -0.228
1987.04 -0.055
1987.12 -0.085
1987.21 -0.333
1987.29 -0.044
1987.38 -0.206
1987.46 0.040
1987.54 -0.079
1987.62 -0.176
1987.71 -0.238
1987.79 -0.074
1987.88 -0.051
1987.96 0.252
1988.04 0.003
1988.12 -0.216
1988.21 0.029
1988.29 -0.095
1988.38 -0.037
1988.46 -0.049
1988.54 0.026
1988.62 -0.064
1988.71 0.038
1988.79 -0.215
1988.88 -0.266
1988.96 -0.330
1989.04 -0.542
1989.12 -0.432
1989.21 -0.442
1989.29 -0.322
1989.38 -0.433
1989.46 -0.407
1989.54 -0.312
1989.62 -0.300
1989.71 -0.205
1989.79 -0.283
1989.88 -0.301
1989.96 -0.174
1990.04 -0.239
1990.12 -0.364
1990.21 -0.067
1990.29 -0.202
1990.38 -0.039
1990.46 -0.030
1990.54 -0.109
1990.62 -0.174
1990.71 -0.280
1990.79 -0.139
1990.88 0.119
1990.96 0.038
1991.04 -0.117
1991.12 -0.081
1991.21 0.106
1991.29 -0.129
1991.38 -0.006
1991.46 0.182
1991.54 0.010
1991.62 0.027
1991.71 -0.218
1991.79 -0.369
1991.88 -0.402
1991.96 -0.396
1992.04 -0.336
1992.12 -0.394
1992.21 -0.271
1992.29 -0.391
1992.38 -0.358
1992.46 -0.341
1992.54 -0.501
1992.62 -0.576
1992.71 -0.593
1992.79 -0.397
1992.88 -0.401
1992.96 -0.448
1993.04 -0.491
1993.12 -0.440
1993.21 -0.558
1993.29 -0.464
1993.38 -0.327
1993.46 -0.208
1993.54 -0.186
1993.62 -0.310
1993.71 -0.496
1993.79 -0.267
1993.88 -0.255
1993.96 -0.067
1994.04 -0.256
1994.12 -0.357
1994.21 -0.319
1994.29 -0.276
1994.38 -0.219
1994.46 -0.059
1994.54 -0.093
1994.62 -0.185
1994.71 -0.148
1994.79 -0.383
1994.88 -0.079
1994.96 -0.039
1995.04 -0.095
1995.12 -0.179
1995.21 -0.193
1995.29 0.018
1995.38 -0.073
1995.46 0.003
1995.54 -0.063
1995.62 0.151
1995.71 0.055
1995.79 -0.074
1995.88 -0.051
1995.96 -0.300
1996.04 -0.295
1996.12 -0.152
1996.21 -0.082
1996.29 -0.206
1996.38 -0.227
1996.46 -0.202
1996.54 -0.103
1996.62 -0.047
1996.71 -0.021
1996.79 -0.110
1996.88 -0.106
1996.96 -0.201
1997.04 -0.297
1997.12 -0.245
1997.21 -0.261
1997.29 -0.385
1997.38 -0.222
1997.46 -0.161
1997.54 -0.041
1997.62 -0.039
1997.71 -0.109
1997.79 -0.058
1997.88 -0.042
1997.96 0.131
1998.04 0.337
1998.12 0.492
1998.21 0.347
1998.29 0.621
1998.38 0.519
1998.46 0.442
1998.54 0.381
1998.62 0.391
1998.71 0.275
1998.79 0.243
1998.88 -0.009
1998.96 0.127
1999.04 -0.082
1999.12 0.005
1999.21 -0.209
1999.29 -0.113
1999.38 -0.161
1999.46 -0.287
1999.54 -0.153
1999.62 -0.198
1999.71 -0.115
1999.79 -0.172
1999.88 -0.198
1999.96 -0.161
2000.04 -0.414
2000.12 -0.228
2000.21 -0.139
2000.29 -0.068
2000.38 -0.036
2000.46 -0.063
2000.54 -0.178
2000.62 -0.238
2000.71 -0.142
2000.79 -0.119
2000.88 -0.122
2000.96 -0.143
2001.04 -0.193
2001.12 -0.056
2001.21 -0.076
2001.29 0.076
2001.38 0.072
2001.46 -0.098
2001.54 -0.052
2001.62 0.121
2001.71 -0.170
2001.79 0.028
2001.88 0.043
2001.96 0.037
2002.04 0.094
2002.12 0.140
2002.21 0.109
2002.29 0.108
2002.38 0.126
2002.46 0.168
2002.54 0.102
2002.62 0.053
2002.71 0.037
2002.79 -0.086
2002.88 0.077
2002.96 0.028
2003.04 0.198
2003.12 0.093
2003.21 0.017
2003.29 0.029
2003.38 0.083
2003.46 -0.136
2003.54 -0.054
2003.62 -0.034
2003.71 -0.022
2003.79 0.125
2003.88 0.038
2003.96 0.257
2004.04 0.070
2004.12 0.087
2004.21 0.225
2004.29 0.016
2004.38 -0.047
2004.46 -0.135
2004.54 -0.363
2004.62 -0.224
2004.71 -0.151
2004.79 -0.014
2004.88 -0.072
2004.96 -0.072
2005.04 0.152
2005.12 0.015
2005.21 0.059
2005.29 0.203
2005.38 0.008
2005.46 0.017
2005.54 0.090
2005.62 -0.025
2005.71 0.080
2005.79 0.109
2005.88 0.071
2005.96 -0.035
2006.04 0.008
