UAH v6.0 MSU-TLT
Year
Temperature Anomaly (C)
Year UAH_v6.0_MSU-TLT
1979 -0.3465
1980 -0.178083
1981 -0.247917
1982 -0.432833
1983 -0.178083
1984 -0.3745
1985 -0.498
1986 -0.355917
1987 -0.0874167
1988 -0.098
1989 -0.346083
1990 -0.123833
1991 -0.116083
1992 -0.41725
1993 -0.339083
1994 -0.201083
1995 -0.06675
1996 -0.146
1997 -0.144083
1998 0.347167
1999 -0.153667
2000 -0.1575
2001 -0.0223333
2002 0.0796667
2003 0.0495
2004 -0.0566667
2005 0.062
2006 -0.0235833
2007 0.0231667
2008 -0.238
2009 -0.0435
2010 0.193583
2011 -0.12075
2012 -0.08425
2013 -0.00133333
2014 0.0438333
2015 0.13625
2016 0.38775
2017 0.264417
2018 0.0869167
2019 0.302
2020 0.355333
2021 0.135167
