UAH v6.0 MSU-TMT
Year
Temperature Anomaly (C)
Year UAH_v6.0_MSU-TMT
1978.96 -0.301
1979.04 -0.294
1979.12 -0.276
1979.21 -0.218
1979.29 -0.226
1979.38 -0.255
1979.46 -0.266
1979.54 -0.223
1979.62 -0.304
1979.71 -0.299
1979.79 -0.069
1979.88 -0.070
1979.96 -0.061
1980.04 -0.114
1980.12 -0.003
1980.21 -0.053
1980.29 0.019
1980.38 0.082
1980.46 0.098
1980.54 -0.050
1980.62 -0.111
1980.71 -0.113
1980.79 -0.176
1980.88 -0.121
1980.96 -0.208
1981.04 -0.118
1981.12 -0.034
1981.21 -0.122
1981.29 -0.151
1981.38 -0.161
1981.46 -0.216
1981.54 -0.173
1981.62 -0.149
1981.71 -0.286
1981.79 -0.259
1981.88 -0.158
1981.96 -0.023
1982.04 -0.201
1982.12 -0.211
1982.21 -0.228
1982.29 -0.274
1982.38 -0.263
1982.46 -0.197
1982.54 -0.339
1982.62 -0.262
1982.71 -0.259
1982.79 -0.328
1982.88 -0.149
1982.96 -0.059
1983.04 0.101
1983.12 -0.088
1983.21 0.241
1983.29 0.149
1983.38 0.123
1983.46 -0.157
1983.54 -0.016
1983.62 -0.005
1983.71 -0.124
1983.79 -0.175
1983.88 -0.136
1983.96 -0.333
1984.04 -0.480
1984.12 -0.378
1984.21 -0.247
1984.29 -0.316
1984.38 -0.234
1984.46 -0.255
1984.54 -0.362
1984.62 -0.314
1984.71 -0.701
1984.79 -0.300
1984.88 -0.338
1984.96 -0.318
1985.04 -0.334
1985.12 -0.426
1985.21 -0.365
1985.29 -0.267
1985.38 -0.348
1985.46 -0.385
1985.54 -0.604
1985.62 -0.372
1985.71 -0.463
1985.79 -0.538
1985.88 -0.378
1985.96 -0.346
1986.04 -0.230
1986.12 -0.457
1986.21 -0.363
1986.29 -0.250
1986.38 -0.251
1986.46 -0.312
1986.54 -0.387
1986.62 -0.361
1986.71 -0.432
1986.79 -0.429
1986.88 -0.195
1986.96 -0.098
1987.04 0.043
1987.12 0.007
1987.21 -0.235
1987.29 0.023
1987.38 -0.132
1987.46 0.130
1987.54 -0.003
1987.62 -0.106
1987.71 -0.167
1987.79 -0.014
1987.88 0.030
1987.96 0.309
1988.04 0.035
1988.12 -0.166
1988.21 0.083
1988.29 -0.032
1988.38 0.023
1988.46 -0.043
1988.54 0.024
1988.62 -0.033
1988.71 0.064
1988.79 -0.107
1988.88 -0.103
1988.96 -0.206
1989.04 -0.426
1989.12 -0.344
1989.21 -0.366
1989.29 -0.262
1989.38 -0.363
1989.46 -0.358
1989.54 -0.299
1989.62 -0.291
1989.71 -0.213
1989.79 -0.276
1989.88 -0.216
1989.96 -0.081
1990.04 -0.155
1990.12 -0.251
1990.21 0.004
1990.29 -0.097
1990.38 0.027
1990.46 0.035
1990.54 -0.101
1990.62 -0.142
1990.71 -0.232
1990.79 -0.146
1990.88 0.100
1990.96 0.047
1991.04 -0.085
1991.12 -0.026
1991.21 0.135
1991.29 -0.108
1991.38 0.027
1991.46 0.184
1991.54 0.057
1991.62 0.150
1991.71 -0.010
1991.79 -0.137
1991.88 -0.155
1991.96 -0.142
1992.04 -0.128
1992.12 -0.175
1992.21 -0.082
1992.29 -0.190
1992.38 -0.178
1992.46 -0.147
1992.54 -0.308
1992.62 -0.380
1992.71 -0.372
1992.79 -0.212
1992.88 -0.211
1992.96 -0.284
1993.04 -0.352
1993.12 -0.351
1993.21 -0.469
1993.29 -0.400
1993.38 -0.288
1993.46 -0.190
1993.54 -0.191
1993.62 -0.299
1993.71 -0.491
1993.79 -0.283
1993.88 -0.248
1993.96 -0.050
1994.04 -0.248
1994.12 -0.335
1994.21 -0.309
1994.29 -0.250
