UAH v6.0 MSU-TMT
Year
Temperature Anomaly (C)
Year UAH_v6.0_MSU-TMT
1979 -0.213417
1980 -0.0625
1981 -0.154167
1982 -0.230833
1983 -0.035
1984 -0.353583
1985 -0.402167
1986 -0.31375
1987 -0.00958333
1988 -0.0384167
1989 -0.29125
1990 -0.0759167
1991 -0.00916667
1992 -0.22225
1993 -0.301
1994 -0.183833
1995 -0.103083
1996 -0.1635
1997 -0.127
1998 0.3235
1999 -0.181917
2000 -0.206083
2001 -0.0401667
2002 0.0919167
2003 0.0459167
2004 -0.0406667
2005 0.0471667
2006 -0.0461667
2007 -0.00725
2008 -0.256833
2009 -0.0414167
2010 0.206833
2011 -0.142583
2012 -0.0775833
2013 0.044
2014 0.0521667
2015 0.141167
2016 0.3575
2017 0.21625
2018 0.0530833
2019 0.2655
2020 0.3055
2021 0.0730833
