Global-Mean Surface Temperature
 
Temperature Anomaly (\So\C)
Year Monthly_Mean_(GHCN4)
1880.04 -0.17
1880.12 -0.23
1880.21 -0.08
1880.29 -0.15
1880.38 -0.09
1880.46 -0.2
1880.54 -0.16
1880.62 -0.08
1880.71 -0.13
1880.79 -0.22
1880.88 -0.19
1880.96 -0.16
1881.04 -0.18
1881.12 -0.13
1881.21 0.04
1881.29 0.06
1881.38 0.07
1881.46 -0.17
1881.54 0.02
1881.62 -0.02
1881.71 -0.14
1881.79 -0.21
1881.88 -0.17
1881.96 -0.06
1882.04 0.17
1882.12 0.15
1882.21 0.05
1882.29 -0.16
1882.38 -0.13
1882.46 -0.22
1882.54 -0.15
1882.62 -0.06
1882.71 -0.13
1882.79 -0.23
1882.88 -0.15
1882.96 -0.36
1883.04 -0.28
1883.12 -0.36
1883.21 -0.12
1883.29 -0.18
1883.38 -0.17
1883.46 -0.06
1883.54 -0.06
1883.62 -0.13
1883.71 -0.21
1883.79 -0.11
1883.88 -0.23
1883.96 -0.11
1884.04 -0.12
1884.12 -0.07
1884.21 -0.36
1884.29 -0.39
1884.38 -0.33
1884.46 -0.34
1884.54 -0.32
1884.62 -0.27
1884.71 -0.26
1884.79 -0.24
1884.88 -0.33
1884.96 -0.3
1885.04 -0.58
1885.12 -0.33
1885.21 -0.26
1885.29 -0.41
1885.38 -0.45
1885.46 -0.43
1885.54 -0.33
1885.62 -0.31
1885.71 -0.28
1885.79 -0.23
1885.88 -0.23
1885.96 -0.1
1886.04 -0.43
1886.12 -0.5
1886.21 -0.43
1886.29 -0.28
1886.38 -0.24
1886.46 -0.34
1886.54 -0.18
1886.62 -0.3
1886.71 -0.23
1886.79 -0.27
1886.88 -0.27
1886.96 -0.25
1887.04 -0.71
1887.12 -0.56
1887.21 -0.35
1887.29 -0.34
1887.38 -0.3
1887.46 -0.24
1887.54 -0.25
1887.62 -0.35
1887.71 -0.25
1887.79 -0.35
1887.88 -0.26
1887.96 -0.32
1888.04 -0.33
1888.12 -0.35
1888.21 -0.41
1888.29 -0.2
1888.38 -0.21
1888.46 -0.17
1888.54 -0.1
1888.62 -0.15
1888.71 -0.11
1888.79 0.02
1888.88 0.03
1888.96 -0.03
1889.04 -0.08
1889.12 0.17
1889.21 0.07
1889.29 0.1
1889.38 0
1889.46 -0.09
1889.54 -0.07
1889.62 -0.2
1889.71 -0.23
1889.79 -0.25
1889.88 -0.33
1889.96 -0.28
1890.04 -0.41
1890.12 -0.44
1890.21 -0.39
1890.29 -0.29
1890.38 -0.38
1890.46 -0.24
1890.54 -0.27
1890.62 -0.38
1890.71 -0.36
1890.79 -0.24
1890.88 -0.43
1890.96 -0.3
1891.04 -0.33
1891.12 -0.46
1891.21 -0.18
1891.29 -0.27
1891.38 -0.16
1891.46 -0.2
1891.54 -0.17
1891.62 -0.17
1891.71 -0.15
1891.79 -0.21
1891.88 -0.31
1891.96 -0.04
1892.04 -0.28
1892.12 -0.1
1892.21 -0.4
1892.29 -0.33
1892.38 -0.23
1892.46 -0.22
1892.54 -0.31
1892.62 -0.27
1892.71 -0.16
